DATE,SPX_Adj_Close,SPX_Volume, DowJonesClose,GDPC1,GFDEBTN,M2SL,MEDCPIM158SFRBCLE,NASDAQ_Close,NETFI,PCECTPI,DEXUSUK,DEXUSJP,DEXUSEU
1/6/2014,1826.77002,3294850000,16425.1,17964.51659,17602653.32,11114.24348,2.399088005,4113.68,-370.4413182,96.71568182,1.6412,0.009580379,1.3636
1/7/2014,1837.880005,3511750000,16530.94,17968.03079,17603128.76,11117.0913,2.396675172,4153.18,-370.0417576,96.72224242,1.6421,0.009565716,1.3618
1/8/2014,1837.48999,3652140000,16462.74,17971.54498,17603604.2,11119.93913,2.394262339,4165.61,-369.642197,96.72880303,1.6461,0.009535616,1.3586
1/9/2014,1838.130005,3581150000,16444.76,17975.05918,17604079.64,11122.78696,2.391849506,4156.19,-369.2426364,96.73536364,1.6459,0.009547451,1.3591
1/10/2014,1842.369995,3335710000,16437.05,17978.57338,17604555.08,11125.63478,2.389436673,4174.66,-368.8430758,96.74192424,1.647,0.00960984,1.3664
1/13/2014,1819.199951,3591350000,16257.94,17982.08758,17605030.52,11128.48261,2.38702384,4113.3,-368.4435152,96.74848485,1.6379,0.009679605,1.3647
1/14/2014,1838.880005,3353270000,16373.86,17985.60177,17605505.95,11131.33043,2.384611007,4183.02,-368.0439545,96.75504545,1.645,0.009633911,1.3682
1/15/2014,1848.380005,3777800000,16481.94,17989.11597,17605981.39,11134.17826,2.382198174,4214.88,-367.6443939,96.76160606,1.6375,0.009576709,1.3604
1/16/2014,1845.890015,3491310000,16417.01,17992.63017,17606456.83,11137.02609,2.379785341,4218.69,-367.2448333,96.76816667,1.6335,0.00958589,1.36
1/17/2014,1838.699951,3626120000,16458.56,17996.14436,17606932.27,11139.87391,2.377372509,4197.58,-366.8452727,96.77472727,1.6429,0.00958589,1.3554
1/20/2014,1841.25,3704295000,16436.5,17999.65856,17607407.71,11142.72174,2.374959676,4211.67,-366.4457121,96.78128788,1.6449,0.009594174,1.3557
1/21/2014,1843.800049,3782470000,16414.44,18003.17276,17607883.15,11145.56957,2.372546843,4225.76,-366.0461515,96.78784848,1.6469,0.009602458,1.356
1/22/2014,1844.859985,3374170000,16373.34,18006.68695,17608358.59,11148.41739,2.37013401,4243,-365.6465909,96.79440909,1.6571,0.009582215,1.3546
1/23/2014,1828.459961,3972250000,16197.35,18010.20115,17608834.03,11151.26522,2.367721177,4218.87,-365.2470303,96.8009697,1.6612,0.009647853,1.368
1/24/2014,1790.290039,4618450000,15879.11,18013.71535,17609309.47,11154.11304,2.365308344,4128.17,-364.8474697,96.8075303,1.6491,0.009764671,1.368
1/27/2014,1781.560059,4045200000,15837.88,18017.22955,17609784.91,11156.96087,2.362895511,4083.61,-364.4479091,96.81409091,1.6588,0.009778995,1.3679
1/28/2014,1792.5,3437830000,15928.56,18020.74374,17610260.35,11159.8087,2.360482678,4097.96,-364.0483485,96.82065152,1.6581,0.009727626,1.3662
