DATE,USD to JPY,USD to EUR,USD to GBP,Close_SP,Adj Close_SP,Volume_SP,NASDAQCOM,Close_DJ
1999-08-12,0.0086385625431928,1.0636,1.609,1298.160034,1298.160034,745600000,2549.49,10789.39
1999-08-13,0.0086460314715545,1.0568,1.6057,1327.680054,1327.680054,691700000,2637.81,10973.65
1999-08-16,0.008708525646608,1.0557,1.6011,1330.77002,1330.77002,583550000,2645.28,11046.79
1999-08-17,0.0087581012436503,1.0525,1.6036,1344.160034,1344.160034,691500000,2671.22,11117.08
1999-08-18,0.0089047195013357,1.0505,1.6004,1332.839966,1332.839966,682800000,2657.73,10991.38
1999-08-19,0.0089976606082418,1.0643,1.618,1323.589966,1323.589966,684200000,2621.43,10963.84
1999-08-20,0.0089734386216798,1.0654,1.6133,1336.609985,1336.609985,661200000,2648.33,11100.61
1999-08-23,0.0089501476774366,1.0553,1.6076,1360.219971,1360.219971,682600000,2719.57,11299.76
1999-08-24,0.0089661974356675,1.0506,1.5946,1363.5,1363.5,732700000,2752.37,11283.3
1999-08-25,0.0089944234574563,1.0461,1.5865,1381.790039,1381.790039,864600000,2805.60,11326.04
1999-08-26,0.0089421443262094,1.0441,1.5876,1362.01001,1362.01001,719000000,2774.62,11198.45
1999-08-27,0.0089541547277936,1.046,1.5885,1348.27002,1348.27002,570050000,2758.90,11090.17
1999-08-30,0.0089984702600557,1.0445,1.5875,1324.02002,1324.02002,597900000,2712.69,10914.13
1999-08-31,0.0091491308325709,1.0581,1.6086,1320.410034,1320.410034,861700000,2739.35,10829.28
1999-09-01,0.0091449474165523,1.0582,1.6023,1331.069946,1331.069946,708200000,2750.80,10937.88
1999-09-02,0.009154155986818,1.0689,1.6091,1319.109985,1319.109985,687100000,2734.24,10843.21
1999-09-03,0.0090834771550549,1.0605,1.6028,1357.23999,1357.23999,663200000,2843.11,11078.45
1999-09-07,0.0090155066714749,1.0581,1.6057,1350.449951,1350.449951,715300000,2837.26,11034.13
1999-09-08,0.0090098207045679,1.059,1.6185,1344.150024,1344.150024,791200000,2808.74,11036.34
1999-09-09,0.0092592592592592,1.0543,1.6332,1347.660034,1347.660034,773900000,2852.02,11079.4
1999-09-10,0.0091743119266055,1.0402,1.6183,1351.660034,1351.660034,808500000,2887.06,11028.43
1999-09-13,0.0094170825878142,1.04,1.609,1344.130005,1344.130005,657900000,2844.77,11030.33
1999-09-14,0.0094939713282065,1.0408,1.6085,1336.290039,1336.290039,734500000,2868.29,10910.33
1999-09-15,0.0096357679707072,1.0385,1.611,1317.969971,1317.969971,787300000,2814.17,10801.42
1999-09-16,0.0095147478591817,1.0418,1.625,1318.47998,1318.47998,739000000,2806.72,10737.46
1999-09-17,0.0093510379652141,1.0399,1.6222,1335.420044,1335.420044,861900000,2869.62,10803.63
1999-09-20,0.0093967299379815,1.0408,1.623,1335.530029,1335.530029,568000000,2886.15,10823.9
1999-09-21,0.0095374344301382,1.046,1.631,1307.579956,1307.579956,817300000,2821.10,10598.47
1999-09-22,0.0096126117466115,1.05,1.6363,1310.51001,1310.51001,822200000,2858.16,10524.07
1999-09-23,0.0095987713572662,1.0415,1.6375,1280.410034,1280.410034,890800000,2749.83,10318.59
1999-09-24,0.0096024582293067,1.0466,1.6428,1277.359985,1277.359985,872800000,2740.41,10279.33
1999-09-27,0.0094277364004902,1.0431,1.6455,1283.310059,1283.310059,780600000,2761.75,10303.39
1999-09-28,0.0094215187488223,1.0509,1.6485,1282.199951,1282.199951,885400000,2756.25,10275.53
1999-09-29,0.0093632958801498,1.0613,1.6425,1268.369995,1268.369995,856000000,2730.27,10213.48
1999-09-30,0.0093615427822505,1.0643,1.6457,1282.709961,1282.709961,1017600000,2746.16,10336.95
1999-10-01,0.0095165588123334,1.0718,1.655,1282.810059,1282.810059,896200000,2736.85,10273.0
1999-10-04,0.0094029149036201,1.0703,1.6555,1304.599976,1304.599976,803300000,2795.97,10401.23
1999-10-05,0.0093492894540014,1.0693,1.6525,1301.349976,1301.349976,965700000,2799.67,10400.59
1999-10-06,0.0092988655384043,1.0704,1.656,1325.400024,1325.400024,895200000,2857.21,10588.34
1999-10-07,0.0092876381536175,1.0721,1.652,1317.640015,1317.640015,827800000,2860.70,10537.05
1999-10-08,0.0093127211771279,1.063,1.652,1336.02002,1336.02002,897300000,2886.57,10649.76
1999-10-11,,,,1335.209961,1335.209961,655900000,2915.95,10648.18
1999-10-12,0.00940910801656,1.0737,1.6535,1313.040039,1313.040039,778300000,2872.43,10417.06
1999-10-13,0.0093066542577943,1.0758,1.6532,1285.550049,1285.550049,821500000,2801.27,10232.16
1999-10-14,0.0093492894540014,1.0799,1.6575,1283.420044,1283.420044,892300000,2806.84,10286.61
1999-10-15,0.0094849663283695,1.0887,1.6684,1247.410034,1247.410034,912600000,2731.83,10019.71
1999-10-18,0.0095301629657867,1.0863,1.672,1254.130005,1254.130005,818700000,2689.15,10116.28
1999-10-19,0.0094786729857819,1.0833,1.6708,1261.319946,1261.319946,905700000,2688.18,10204.93
1999-10-20,0.0094197437829691,1.0765,1.6643,1289.430054,1289.430054,928800000,2788.13,10392.36
1999-10-21,0.0094375235938089,1.0808,1.6765,1283.609985,1283.609985,1012500000,2801.95,10297.69
1999-10-22,0.0094509025611945,1.0678,1.6584,1301.650024,1301.650024,959200000,2816.52,10470.25
1999-10-25,0.0094921689606074,1.0666,1.6631,1293.630005,1293.630005,777000000,2815.95,10349.93
1999-10-26,0.0095392540303348,1.0578,1.6525,1281.910034,1281.910034,878300000,2811.47,10302.13
1999-10-27,0.0095932463545663,1.0532,1.6477,1296.709961,1296.709961,950100000,2802.52,10394.89
1999-10-28,0.0095120327213925,1.0519,1.64,1342.439941,1342.439941,1135100000,2875.22,10622.53
1999-10-29,0.0095886470419023,1.0518,1.6425,1362.930054,1362.930054,1120500000,2966.43,10729.86
1999-11-01,0.0095978500815817,1.0494,1.6404,1354.119995,1354.119995,861000000,2967.65,10648.51
1999-11-02,0.0096015362457993,1.0506,1.6445,1347.73999,1347.73999,904500000,2981.63,10580.92
1999-11-03,0.0095238095238095,1.0485,1.644,1354.930054,1354.930054,914400000,3028.51,10609.06
1999-11-04,0.0095712098009188,1.044,1.6375,1362.640015,1362.640015,981700000,3055.95,10639.64
1999-11-05,0.0094046835323991,1.04,1.6205,1370.22998,1370.22998,1007300000,3102.29,10704.48
1999-11-08,0.0094544766947149,1.0363,1.615,1377.01001,1377.01001,806800000,3143.97,10718.85
1999-11-09,0.0095365248903299,1.0401,1.621,1365.280029,1365.280029,854300000,3125.04,10617.32
1999-11-10,0.0095620577548288,1.0436,1.625,1373.459961,1373.459961,984700000,3155.96,10597.74
1999-11-11,,,,1381.459961,1381.459961,891300000,3197.29,10595.3
1999-11-12,0.009493070058857,1.0315,1.6131,1396.060059,1396.060059,900200000,3221.15,10769.32
1999-11-15,0.009534706331045,1.0315,1.623,1394.390015,1394.390015,795700000,3219.54,10760.75
1999-11-16,0.0094491165076065,1.0312,1.6164,1420.069946,1420.069946,942200000,3295.52,10932.33
1999-11-17,0.0094813691096994,1.0403,1.6231,1410.709961,1410.709961,960000000,3269.39,10883.09
1999-11-18,0.009447331128956,1.0297,1.615,1424.939941,1424.939941,1022800000,3347.11,11035.7
1999-11-19,0.0094224064826156,1.0313,1.616,1422.0,1422.0,893800000,3369.25,11003.89
1999-11-22,0.009535615523982,1.0327,1.6205,1420.939941,1420.939941,873500000,3392.56,11089.52
1999-11-23,0.0095969289827255,1.0261,1.6236,1404.640015,1404.640015,926100000,3342.87,10995.63
1999-11-24,0.0095584018352131,1.0176,1.609,1417.079956,1417.079956,734800000,3420.50,11008.17
1999-11-26,0.0097856933163714,1.0137,1.6062,1416.619995,1416.619995,312120000,3447.81,10988.91
1999-11-29,0.0097627648149956,1.01,1.6024,1407.829956,1407.829956,866100000,3421.37,10947.92
1999-11-30,0.0098231827111984,1.0077,1.5935,1388.910034,1388.910034,951500000,3336.16,10877.81
1999-12-01,0.0097684868613851,1.0059,1.596,1397.719971,1397.719971,884000000,3353.71,10998.39
1999-12-02,0.0097380465478624,1.0023,1.5972,1409.040039,1409.040039,900700000,3452.78,11039.06
1999-12-03,0.0097513408093612,1.0016,1.6015,1433.300049,1433.300049,1006400000,3520.63,11286.18
1999-12-06,0.0096993210475266,1.0252,1.623,1423.329956,1423.329956,916800000,3546.01,11225.01
1999-12-07,0.0097665787674577,1.0222,1.6233,1409.170044,1409.170044,1085800000,3586.92,11106.65
1999-12-08,0.0097115664756725,1.0263,1.6255,1403.880005,1403.880005,957000000,3586.08,11068.12
1999-12-09,0.009749439407234,1.0161,1.623,1408.109985,1408.109985,1122100000,3594.17,11134.79
1999-12-10,0.009765625,1.0158,1.6225,1417.040039,1417.040039,987200000,3620.24,11224.7
1999-12-13,0.009684292078249,1.012,1.6232,1415.219971,1415.219971,977600000,3658.17,11192.59
1999-12-14,0.0096646370928771,1.0067,1.611,1403.170044,1403.170044,1027800000,3571.66,11160.17
1999-12-15,0.0096581031485416,1.0066,1.6085,1413.329956,1413.329956,1033900000,3621.95,11225.32
1999-12-16,0.0097049689440993,1.0169,1.6123,1418.780029,1418.780029,1070300000,3715.06,11244.89
1999-12-17,0.0096833543139343,1.0088,1.607,1421.030029,1421.030029,1349800000,3753.06,11257.43
1999-12-20,0.0097352024922118,1.0066,1.6035,1418.089966,1418.089966,904600000,3783.87,11144.27
1999-12-21,0.009798157946306,1.0093,1.6103,1433.430054,1433.430054,963500000,3911.15,11200.54
1999-12-22,0.0098493056239535,1.008,1.606,1436.130005,1436.130005,850000000,3937.30,11203.6
1999-12-23,0.0098299420033421,1.0162,1.6161,1458.339966,1458.339966,728600000,3969.44,11405.76
1999-12-27,0.009794319294809,1.0136,1.6173,1457.099976,1457.099976,722600000,3975.38,11391.08
1999-12-28,0.0097856933163714,1.0068,1.6165,1457.660034,1457.660034,655400000,3972.11,11476.71
1999-12-29,0.0097991180793728,1.0045,1.6168,1463.459961,1463.459961,567860000,4041.46,11484.66
1999-12-30,0.0097723052868171,1.0024,1.613,1464.469971,1464.469971,554680000,4036.87,11452.86
1999-12-31,0.0097885669537979,1.007,1.615,1469.25,1469.25,374050000,4069.31,11497.12
2000-01-03,0.0098328416912487,1.0155,1.627,1455.219971,1455.219971,931800000,4131.15,11357.51
2000-01-04,0.0097002619070714,1.0309,1.637,1399.420044,1399.420044,1009000000,3901.69,10997.93
2000-01-05,0.0096366965404259,1.0335,1.6415,1402.109985,1402.109985,1085500000,3877.54,11122.65
2000-01-06,0.0095066070919288,1.0324,1.6475,1403.449951,1403.449951,1092300000,3727.13,11253.26
2000-01-07,0.0095084149472282,1.0294,1.6384,1441.469971,1441.469971,1225200000,3882.62,11522.56
2000-01-10,0.009498480243161,1.0252,1.6374,1457.599976,1457.599976,1064800000,4049.67,11572.2
2000-01-11,0.0094259590913375,1.0322,1.648,1438.560059,1438.560059,1014000000,3921.19,11511.08
2000-01-12,0.0094553706505295,1.0281,1.6465,1432.25,1432.25,974600000,3850.02,11551.1
2000-01-13,0.0094259590913375,1.027,1.6482,1449.680054,1449.680054,1030400000,3957.21,11582.43
2000-01-14,0.0094464386926128,1.0128,1.6353,1465.150024,1465.150024,1085900000,4064.27,11722.98
2000-01-18,0.0094795715233671,1.0121,1.638,1455.140015,1455.140015,1056700000,4130.81,11560.72
2000-01-19,0.0094885662776354,1.0115,1.6438,1455.900024,1455.900024,1087800000,4151.29,11489.36
2000-01-20,0.0094831673779042,1.0133,1.6538,1445.569946,1445.569946,1100700000,4189.51,11351.3
2000-01-21,0.0095274390243902,1.01,1.6504,1441.359985,1441.359985,1209800000,4235.40,11251.71
2000-01-24,0.0094768764215314,1.0019,1.652,1401.530029,1401.530029,1115800000,4096.08,11008.17
