,DATE,USD to JPY,USD to EUR,USD to GBP,Infl
191,1999-09-28,0.0094215187488223,1.0509,1.6485,
192,1999-09-29,0.0093632958801498,1.0613,1.6425,
193,1999-09-30,0.0093615427822505,1.0643,1.6457,
194,1999-10-01,0.0095165588123334,1.0718,1.655,72.629
195,1999-10-04,0.0094029149036201,1.0703,1.6555,
196,1999-10-05,0.0093492894540014,1.0693,1.6525,
197,1999-10-06,0.0092988655384043,1.0704,1.656,
198,1999-10-07,0.0092876381536175,1.0721,1.652,
199,1999-10-08,0.0093127211771279,1.063,1.652,
200,1999-10-11,,,,
201,1999-10-12,0.00940910801656,1.0737,1.6535,
202,1999-10-13,0.0093066542577943,1.0758,1.6532,
203,1999-10-14,0.0093492894540014,1.0799,1.6575,
204,1999-10-15,0.0094849663283695,1.0887,1.6684,
205,1999-10-18,0.0095301629657867,1.0863,1.672,
206,1999-10-19,0.0094786729857819,1.0833,1.6708,
207,1999-10-20,0.0094197437829691,1.0765,1.6643,
208,1999-10-21,0.0094375235938089,1.0808,1.6765,
209,1999-10-22,0.0094509025611945,1.0678,1.6584,
210,1999-10-25,0.0094921689606074,1.0666,1.6631,
211,1999-10-26,0.0095392540303348,1.0578,1.6525,
212,1999-10-27,0.0095932463545663,1.0532,1.6477,
213,1999-10-28,0.0095120327213925,1.0519,1.64,
214,1999-10-29,0.0095886470419023,1.0518,1.6425,
215,1999-11-01,0.0095978500815817,1.0494,1.6404,
216,1999-11-02,0.0096015362457993,1.0506,1.6445,
217,1999-11-03,0.0095238095238095,1.0485,1.644,
218,1999-11-04,0.0095712098009188,1.044,1.6375,
219,1999-11-05,0.0094046835323991,1.04,1.6205,
220,1999-11-08,0.0094544766947149,1.0363,1.615,
221,1999-11-09,0.0095365248903299,1.0401,1.621,
222,1999-11-10,0.0095620577548288,1.0436,1.625,
223,1999-11-11,,,,
224,1999-11-12,0.009493070058857,1.0315,1.6131,
225,1999-11-15,0.009534706331045,1.0315,1.623,
226,1999-11-16,0.0094491165076065,1.0312,1.6164,
227,1999-11-17,0.0094813691096994,1.0403,1.6231,
228,1999-11-18,0.009447331128956,1.0297,1.615,
229,1999-11-19,0.0094224064826156,1.0313,1.616,
230,1999-11-22,0.009535615523982,1.0327,1.6205,
231,1999-11-23,0.0095969289827255,1.0261,1.6236,
232,1999-11-24,0.0095584018352131,1.0176,1.609,
233,1999-11-25,,,,
234,1999-11-26,0.0097856933163714,1.0137,1.6062,
235,1999-11-29,0.0097627648149956,1.01,1.6024,
236,1999-11-30,0.0098231827111984,1.0077,1.5935,
237,1999-12-01,0.0097684868613851,1.0059,1.596,
238,1999-12-02,0.0097380465478624,1.0023,1.5972,
239,1999-12-03,0.0097513408093612,1.0016,1.6015,
240,1999-12-06,0.0096993210475266,1.0252,1.623,
241,1999-12-07,0.0097665787674577,1.0222,1.6233,
242,1999-12-08,0.0097115664756725,1.0263,1.6255,
243,1999-12-09,0.009749439407234,1.0161,1.623,
244,1999-12-10,0.009765625,1.0158,1.6225,
245,1999-12-13,0.009684292078249,1.012,1.6232,
246,1999-12-14,0.0096646370928771,1.0067,1.611,
247,1999-12-15,0.0096581031485416,1.0066,1.6085,
248,1999-12-16,0.0097049689440993,1.0169,1.6123,
249,1999-12-17,0.0096833543139343,1.0088,1.607,
250,1999-12-20,0.0097352024922118,1.0066,1.6035,
251,1999-12-21,0.009798157946306,1.0093,1.6103,
252,1999-12-22,0.0098493056239535,1.008,1.606,
253,1999-12-23,0.0098299420033421,1.0162,1.6161,
254,1999-12-24,0.0097134531325886,1.0128,1.6154,
255,1999-12-27,0.009794319294809,1.0136,1.6173,
256,1999-12-28,0.0097856933163714,1.0068,1.6165,
257,1999-12-29,0.0097991180793728,1.0045,1.6168,
258,1999-12-30,0.0097723052868171,1.0024,1.613,
259,1999-12-31,0.0097885669537979,1.007,1.615,
260,2000-01-03,0.0098328416912487,1.0155,1.627,
261,2000-01-04,0.0097002619070714,1.0309,1.637,
262,2000-01-05,0.0096366965404259,1.0335,1.6415,
263,2000-01-06,0.0095066070919288,1.0324,1.6475,
264,2000-01-07,0.0095084149472282,1.0294,1.6384,
265,2000-01-10,0.009498480243161,1.0252,1.6374,
266,2000-01-11,0.0094259590913375,1.0322,1.648,
267,2000-01-12,0.0094553706505295,1.0281,1.6465,
268,2000-01-13,0.0094259590913375,1.027,1.6482,
269,2000-01-14,0.0094464386926128,1.0128,1.6353,
270,2000-01-17,,,,
271,2000-01-18,0.0094795715233671,1.0121,1.638,
